did,handle,display_name,avatar,associated_chat_allow_incoming,associated_activity_subscription_allowsubscriptions,viewer_muted,viewer_blocked_by,labels_src,labels_uri,labels_cid,labels_val,labels_cts,created_at,description,indexed_at,uri,original_uri,verification_verifications_issuer,verification_verifications_uri,verification_verifications_is_valid,verification_verifications_created_at,verification_verified_status,verification_trusted_verifierstatus,viewer_following,viewer_followed_by,labels_ver,labels_cts_..9,labels_src_..10,labels_uri_..11,labels_val_..12,labels_src_..14,labels_uri_..15,labels_val_..17,labels_cts_..18,labels_src_..22,labels_uri_..23,labels_val_..24,labels_cts_..25
did:plc:n3t54gz6pastzesohxtpt6gh,brianhonan.bsky.social,Brian Honan,https://cdn.bsky.app/img/avatar/plain/did:plc:n3t54gz6pastzesohxtpt6gh/bafkreigr4xryuqydkl7y2sjetpdotedplu43j3qmv5jxkdjsenqhehlosq@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-31T08:23:00.107Z,"Irish cybersecurity pro, author, speaker, and commentator.

CEO of BH Consulting, Head of Ireland's first CSIRT - IRISSCERT, member of ENISA Advisory Group, & former Special Advisor on CyberSecurity to Europol.  

PGP ID 0xF1B5CF7D",2024-01-26T00:10:46.026Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,did:plc:z72i7hdynmk6r22z27h6tvur,at://did:plc:z72i7hdynmk6r22z27h6tvur/app.bsky.graph.verification/3lujhbgu6qn2a,TRUE,2025-07-22T02:25:37.458Z,valid,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:ld2vd37jefwcaw6dmx6raaqt,libertiesbelle.bsky.social,Edna Dowling,https://cdn.bsky.app/img/avatar/plain/did:plc:ld2vd37jefwcaw6dmx6raaqt/bafkreibvq2v4vr4twwrjxe2q2a6bzlhrozbsgqwrd536g2ni7xhxorckqe@jpeg,none,followers,FALSE,FALSE,did:plc:ld2vd37jefwcaw6dmx6raaqt,at://did:plc:ld2vd37jefwcaw6dmx6raaqt/app.bsky.actor.profile/self,bafyreiapgzqv5afxxyvjbjkbk3puch7ynxqnxg2sc4ruvt2xhkkpoeh3xu,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-12-07T02:21:30.167Z,"Rugadh agus tógadh i mBaile Átha Cliath 8.
Dubliner.  Living the dream.
“Always forgive your enemies; nothing annoys them so much."" — Oscar Wilde",2025-01-05T17:23:15.912Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:lapeos6kamaakxk54gws7ks2,mousketeer.bsky.social,Denise  Murray/Donnacha Ní Mhuireadhaigh,https://cdn.bsky.app/img/avatar/plain/did:plc:lapeos6kamaakxk54gws7ks2/bafkreifrkfpbsgjo7j5iw3rd4bmkfrmktbqkjx2kobg2zh7zyvtkaib6ha@jpeg,NA,followers,FALSE,FALSE,did:plc:lapeos6kamaakxk54gws7ks2,at://did:plc:lapeos6kamaakxk54gws7ks2/app.bsky.actor.profile/self,bafyreigu2rhfs4d7noxdx5cqafx36hbmiycenmw7ysbgeamvi57tpd66we,!no-unauthenticated,2024-11-14T13:52:00.715Z,2024-11-14T13:52:02.556Z,"Cork like. Artist, Historian, chef, retired and broken from rugby, occasional talking head on TV mainly about Gráinne Ní Mháille. Dilettante extraordinaire.
Not fond of humans. Dog rescuer. PWD, GNC, nearing OAP, proudly Socialist, and absolutely Queer.",2025-10-24T16:10:35.017Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:kyatwzopmewbsn6sx4zcmby3,blonay.bsky.social,Úna,https://cdn.bsky.app/img/avatar/plain/did:plc:kyatwzopmewbsn6sx4zcmby3/bafkreieamempheu7f25qrrbo3bgs5dfvigv3d6epzn4x2kkbf4eczrf4b4@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2024-07-16T12:55:02.705Z,NA,2024-12-18T09:20:20.913Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:jr5xhxt5w6a2jqh2os36rkvg,ciara2001.bsky.social,ᚅᚓᚃ ᚆᚐᚔᚏᚇᚑ ᚃᚆᚑ ᚇᚔᚄ,https://cdn.bsky.app/img/avatar/plain/did:plc:jr5xhxt5w6a2jqh2os36rkvg/bafkreih73qv6rss52oow6222zwkgs6qlgiti73jself3g4fosgzsgolgym@jpeg,all,followers,FALSE,FALSE,did:plc:jr5xhxt5w6a2jqh2os36rkvg,at://did:plc:jr5xhxt5w6a2jqh2os36rkvg/app.bsky.actor.profile/self,bafyreiekjse6455k52pkqbly6fapsnetuldbhl4a6ixr3ipfu53ls7d3pu,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-05-21T17:12:47.907Z,"A lapsed moment of reasonableness
She/Her
Lover of utter randomness
Irish 
(something pithy. poignant and wird will probably fill this space at some point, yes I am doing a little experiment)
""For I have manifested my darkness and become god""",2025-11-19T20:15:50.691Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:jcf23ciks7v2yt5hfy2hf64m,tigger1962.bsky.social,Liam of the Jungle,https://cdn.bsky.app/img/avatar/plain/did:plc:jcf23ciks7v2yt5hfy2hf64m/bafkreigtamlg44lrk2mppzpc5xayxwwb3jdz5tnb7nivktbr6vu4rdqbja@jpeg,following,followers,FALSE,FALSE,did:plc:jcf23ciks7v2yt5hfy2hf64m,at://did:plc:jcf23ciks7v2yt5hfy2hf64m/app.bsky.actor.profile/self,bafyreig4js2rwd2bhpmp5iey2qjdrtmpzoacloae7coxkkmmguay7h5p4m,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-08-17T15:22:27.187Z,"Over 60, he/him sometimes it , married, ex Irish military. Sysadmin. Tech, IT,Electronics. SciFi/Fantasy. Owner of dog called Waffles! No Dm please bar those I know. ##StarTrek #DrWho 🇮🇪🐯",2025-08-07T13:20:43.364Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:ij6rbqwauifk5zvbnrri6iqz,mickmuldoon.bsky.social,Mick Muldoon,https://cdn.bsky.app/img/avatar/plain/did:plc:ij6rbqwauifk5zvbnrri6iqz/bafkreib7x6m4owwokzhd3igpg3z6z25xkq5e7ytpb527wmndr6meyvkpju@jpeg,following,followers,FALSE,FALSE,did:plc:ij6rbqwauifk5zvbnrri6iqz,at://did:plc:ij6rbqwauifk5zvbnrri6iqz/app.bsky.actor.profile/self,bafyreial73zfeibqznria5pcrrqufehxcbvxyrxjp4sk5pdh7z4mjefbwe,!no-unauthenticated,1970-01-01T00:00:00.000Z,2023-07-04T08:18:23.863Z,"I’m here for breaking news, a chat about it with interesting people I know and don’t know, cat pics, good recommendations and invitations into kitchens.",2025-11-09T22:55:59.216Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:hlawxvuibskti6l6h3oidlpx,cerandor.com,Ciaran McGrath,https://cdn.bsky.app/img/avatar/plain/did:plc:hlawxvuibskti6l6h3oidlpx/bafkreihgacw2bqudrnxrse5333hftytzrxexmofkf3ojlqyawvlkih62jq@jpeg,following,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-19T21:14:22.522Z,"Writer of stuff, player of games, enjoyer of life. Living with cancer, trying to be a better person one day at a time.",2025-04-29T16:00:45.245Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:gpdb3nywaxzntbn6ikxwn7em,nessymon.bsky.social,Nessy 🏳️‍🌈,https://cdn.bsky.app/img/avatar/plain/did:plc:gpdb3nywaxzntbn6ikxwn7em/bafkreictvndzlkzsioflra7cc3phmmoa667d6i5rkzzohsjmxp3q2vogeu@jpeg,NA,followers,FALSE,FALSE,NA,NA,NA,NA,NA,2023-07-23T18:28:36.364Z,"Radio: The London Ear on RTE2XM, Chair: @londonirishlgbt I market stuff, I write about stuff, I complain about stuff #londoncitylionesses #woso vlogger https://nessymon.com",2025-11-26T16:38:12.490Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
did:plc:dui7zffzvyy7fhoms4c6jzz3,patchotoole.bsky.social,Patchotoole,https://cdn.bsky.app/img/avatar/plain/did:plc:dui7zffzvyy7fhoms4c6jzz3/bafkreibbdam4r34olra3ymppuwgcx2wwb6h7sfi37rkdlhzue3wycodipu@jpeg,NA,followers,FALSE,FALSE,did:plc:dui7zffzvyy7fhoms4c6jzz3,at://did:plc:dui7zffzvyy7fhoms4c6jzz3/app.bsky.actor.profile/self,bafyreiadnvskoxqfl6plykj7f57jnvla74elytxg45bniqvnnwldbnjkyu,!no-unauthenticated,2024-11-03T18:12:14.008Z,2024-11-03T18:12:15.415Z,"Engineer, guitar player. Ex-X'er looking for some peace and quiet, music and photography. Astronomy not astrology. Man those blocklists really seemed to ease me in albeit, dropped now. And still a pleasant place. No DMs please. No crypto/sex scams either.",2025-09-20T19:57:19.063Z,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,at://did:plc:7czbhyt6vmlibzjk2md3ds36/app.bsky.feed.post/3m6hdjj2nkc2m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
